district,ac_num,pdf_count,audited,,,
BAGALKOT,210,227,228,,,
BAGALKOT,211,179,209,,,
BAGALKOT,212,210,,,,
BAGALKOT,213,148,176,,,
BAGALKOT,214,173,,,,
BAGALKOT,215,175,,,,
BAGALKOT,216,177,,,,
BANGALORE RURAL,91,199,,,,
BANGALORE RURAL,92,199,,,,
BANGALORE RURAL,93,174,,,,
BANGALORE RURAL,94,3,234,,,
BANGALORE RURAL,95,210,,,,
BANGALORE RURAL,96,193,,,,
BANGALORE RURAL,97,194,,,,
BANGALORE RURAL,98,218,,,,
BANGALORE RURAL,99,247,,,,
BANGALORE URBAN,88,526,,,,
BANGALORE URBAN,89,1104,,,,
BANGALORE URBAN,90,415,,,,
BANGALORE URBAN,100,249,,,,
BBMP,76,196,,,,
BBMP,77,313,,,,
BBMP,78,115,,,,
BBMP,79,109,,,,
BBMP,80,352,,,,
BBMP,81,123,,,,
BBMP,82,196,,,,
BBMP,83,294,,,,
BBMP,84,182,,,,
BBMP,85,104,,,,
BBMP,86,134,,,,
BBMP,87,197,,,,
BELGAUM,192,190,,,,
BELGAUM,193,78,206,,,
BELGAUM,194,163,175,,,
BELGAUM,195,181,,,,
BELGAUM,196,226,,,,
BELGAUM,197,202,,,,
BELGAUM,198,214,,,,
BELGAUM,199,167,,,,
BELGAUM,200,191,,,,
BELGAUM,201,215,,,,
BELGAUM,202,138,,,,
BELGAUM,203,145,,,,
BELGAUM,204,137,,,,
BELGAUM,205,137,,,,
BELGAUM,206,149,,,,
BELGAUM,207,211,,,,
BELGAUM,208,158,,,,
BELGAUM,209,184,,,,
BELLARY,31,220,,,,
BELLARY,32,200,,,,
BELLARY,33,210,,,,
BELLARY,34,180,,,,
BELLARY,35,154,,,,
BELLARY,36,174,,,,
BELLARY,37,156,,,,
BELLARY,38,165,,,,
BIDAR,1,156,188,,,
BIDAR,2,164,,,,
BIDAR,3,166,,,,
BIDAR,4,212,,,,
BIDAR,5,172,,,,
BIDAR,6,194,,,,
BIJAPURA,217,162,,,,
BIJAPURA,218,177,,,,
BIJAPURA,219,187,,,,
BIJAPURA,220,177,,,,
BIJAPURA,221,249,,,,
BIJAPURA,222,205,,,,
BIJAPURA,223,201,,,,
BIJAPURA,224,205,,,,
CHAMARAJANAGAR,110,196,,,,
CHAMARAJANAGAR,111,172,,,,
CHAMARAJANAGAR,119,154,,,,
CHAMARAJANAGAR,120,199,,,,
CHAMARAJANAGAR,121,187,,,,
CHIKKAMAGALURU,152,190,,,,
CHIKKAMAGALURU,153,72,170,,,
CHIKKAMAGALURU,155,163,169,,,
CHIKKAMAGALURU,156,171,,,,
CHIKKAMAGALURU,157,177,,,,
CHITRADURGA,43,183,,,,
CHITRADURGA,44,189,,,,
CHITRADURGA,46,164,,,,
CHITRADURGA,47,186,,,,
CHITRADURGA,48,171,,,,
CHITRADURGA,49,180,,,,
CHITRADURGA,50,200,,,,
DAKSHINA KANNADA,137,190,,,,
DAKSHINA KANNADA,138,194,,,,
DAKSHINA KANNADA,139,190,,,,
DAKSHINA KANNADA,140,198,,,,
DAKSHINA KANNADA,141,158,,,,
DAKSHINA KANNADA,142,126,,,,
DAKSHINA KANNADA,143,172,,,,
DAKSHINA KANNADA,144,199,,,,
DAKSHINA KANNADA,151,147,,,,
DAVANGERE,39,180,,,,
DAVANGERE,40,179,,,,
DAVANGERE,41,203,204,,,
DAVANGERE,42,201,,,,
DAVANGERE,45,219,,,,
DAVANGERE,158,158,,,,
DAVANGERE,161,175,,,,
DHARWAD,174,180,,,,
DHARWAD,175,213,,,,
DHARWAD,176,175,,,,
DHARWAD,177,267,,,,
DHARWAD,178,171,,,,
DHARWAD,179,163,,,,
DHARWAD,191,159,160,,,
GADAG,186,175,150,,,
GADAG,187,139,,,,
GADAG,188,141,,,,
GADAG,189,155,,,,
GADAG,190,120,,,,
GULBARGA,10,272,,7,8,9
GULBARGA,11,217,,,,
GULBARGA,12,188,,,,
GULBARGA,13,159,,,,
GULBARGA,14,173,,,,
GULBARGA,15,198,,,,
GULBARGA,16,156,,,,
GULBARGA,17,173,,,,
GULBARGA,18,208,,,,
GULBARGA,19,197,,,,
HASSAN,129,172,,,,
HASSAN,130,200,,,,
HASSAN,131,187,,,,
HASSAN,132,243,,,,
HASSAN,133,204,,,,
HASSAN,134,175,,,,
HASSAN,135,255,,,,
HASSAN,136,220,,,,
HAVERI,180,200,,,,
HAVERI,181,187,,,,
HAVERI,182,200,,,,
HAVERI,183,194,,,,
HAVERI,184,171,,,,
HAVERI,185,207,,,,
KODAGU,126,153,,,,
KODAGU,127,182,,,,
KODAGU,128,176,,,,
KOLAR,64,177,,,,
KOLAR,65,170,,,,
KOLAR,66,180,,,,
KOLAR,67,181,,,,
KOLAR,68,194,,,,
KOLAR,69,168,,,,
KOLAR,70,203,,,,
KOLAR,71,159,,,,
KOLAR,72,204,,,,
KOLAR,73,191,,,,
KOLAR,74,180,,,,
KOLAR,75,166,,,,
KOPPAL,26,193,,,,
KOPPAL,27,172,,,,
KOPPAL,28,201,,,,
KOPPAL,29,192,,,,
KOPPAL,30,183,,,,
MANDYA,101,188,,,,
MANDYA,102,168,,,,
MANDYA,103,165,,,,
MANDYA,104,187,,,,
MANDYA,105,196,,,,
MANDYA,106,150,,,,
MANDYA,107,194,,,,
MANDYA,108,201,,,,
MANDYA,109,192,,,,
MYSORE,112,158,,,,
MYSORE,113,171,,,,
MYSORE,114,147,,,,
MYSORE,115,204,,,,
MYSORE,116,243,,,,
MYSORE,117,286,,,,
MYSORE,118,160,,,,
MYSORE,122,196,,,,
MYSORE,123,210,,,,
MYSORE,124,179,,,,
MYSORE,125,208,,,,
RAICHUR,20,185,187,,,
RAICHUR,21,189,190,,,
RAICHUR,22,196,197,,,
RAICHUR,23,177,,,,
RAICHUR,24,185,,,,
RAICHUR,25,221,,,,
SHIVAMOGGA,159,188,,,,
SHIVAMOGGA,160,203,,,,
SHIVAMOGGA,162,257,,,,
SHIVAMOGGA,163,177,,,,
SHIVAMOGGA,164,196,,,,
SHIVAMOGGA,165,184,,,,
SHIVAMOGGA,166,152,,,,
SHIVAMOGGA,167,177,,,,
TUMKUR,51,214,,,,
TUMKUR,52,192,,,,
TUMKUR,53,168,,,,
TUMKUR,54,176,,,,
TUMKUR,55,193,,,,
TUMKUR,56,187,,,,
TUMKUR,57,260,,,,
TUMKUR,58,186,,,,
TUMKUR,59,163,,,,
TUMKUR,60,171,,,,
TUMKUR,61,169,,,,
TUMKUR,62,188,,,,
TUMKUR,63,161,,,,
UDUPI,145,141,,,,
UDUPI,146,170,,,,
UDUPI,147,185,,,,
UDUPI,148,196,,,,
UDUPI,149,179,,,,
UDUPI,150,166,,,,
UTTAR KANNADA,168,202,,,,
UTTAR KANNADA,169,213,,,,
UTTAR KANNADA,170,194,,,,
UTTAR KANNADA,171,189,,,,
UTTAR KANNADA,172,177,,,,
UTTAR KANNADA,173,233,,,,
